ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x2b (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3808,len:0x4bc
load:0x403c9700,len:0xbd8
load:0x403cc700,len:0x2a0c
entry 0x403c98d0
SPS sensor ready
PM2.5: 49.99 | PM10: 49.99
BLE waiting for connection...
PM2.5: 49.01 | PM10: 49.01
PM2.5: 48.62 | PM10: 48.62
PM2.5: 49.39 | PM10: 49.39
PM2.5: 49.77 | PM10: 49.77
PM2.5: 49.99 | PM10: 49.99
PM2.5: 49.99 | PM10: 49.99
PM2.5: 50.09 | PM10: 50.09
PM2.5: 50.46 | PM10: 50.46
PM2.5: 50.20 | PM10: 50.20
PM2.5: 49.71 | PM10: 49.71
PM2.5: 49.07 | PM10: 49.07
PM2.5: 49.11 | PM10: 49.11
BLE Notify: 49.69#49.69
PM2.5: 48.99 | PM10: 48.99
PM2.5: 48.54 | PM10: 48.54
PM2.5: 48.35 | PM10: 48.35
PM2.5: 48.22 | PM10: 48.22
PM2.5: 48.32 | PM10: 48.32
PM2.5: 47.96 | PM10: 47.96
PM2.5: 47.71 | PM10: 47.71
PM2.5: 48.19 | PM10: 48.19
PM2.5: 48.85 | PM10: 48.85
PM2.5: 49.10 | PM10: 49.10
PM2.5: 48.82 | PM10: 48.82
PM2.5: 48.82 | PM10: 48.82
Restart advertising...
PM2.5: 49.86 | PM10: 49.86
PM2.5: 49.22 | PM10: 49.22
PM2.5: 48.84 | PM10: 48.84
PM2.5: 49.64 | PM10: 49.64
PM2.5: 49.25 | PM10: 49.25
PM2.5: 49.35 | PM10: 49.49
PM2.5: 49.78 | PM10: 50.19
PM2.5: 50.84 | PM10: 51.46
PM2.5: 51.65 | PM10: 52.21
PM2.5: 51.86 | PM10: 52.32
PM2.5: 51.80 | PM10: 52.43
PM2.5: 51.49 | PM10: 52.28
PM2.5: 51.06 | PM10: 51.95
PM2.5: 49.64 | PM10: 49.93
PM2.5: 49.29 | PM10: 49.39
