ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3808,len:0x4bc
load:0x403c9700,len:0xbd8
load:0x403cc700,len:0x2a0c
entry 0x403c98d0
SPS sensor ready
PM2.5: 48.73 | PM10: 48.73
BLE waiting for connection...
Device connected, sent 0#0
PM2.5: 49.36 | PM10: 49.36
PM2.5: 50.02 | PM10: 50.02
PM2.5: 50.24 | PM10: 50.24
PM2.5: 50.82 | PM10: 50.82
PM2.5: 50.75 | PM10: 50.75
PM2.5: 50.74 | PM10: 50.74
PM2.5: 50.51 | PM10: 50.51
PM2.5: 50.26 | PM10: 50.26
PM2.5: 50.78 | PM10: 50.78
PM2.5: 51.47 | PM10: 51.47
PM2.5: 51.68 | PM10: 51.68
PM2.5: 51.56 | PM10: 51.56
PM2.5: 51.80 | PM10: 51.80
PM2.5: 51.50 | PM10: 51.50
PM2.5: 51.26 | PM10: 51.26
PM2.5: 51.46 | PM10: 51.46
PM2.5: 51.87 | PM10: 51.87
PM2.5: 51.37 | PM10: 51.37
PM2.5: 51.11 | PM10: 51.11
PM2.5: 51.15 | PM10: 51.15
PM2.5: 50.96 | PM10: 50.96
