PM2.5: 95.00 | PM10: 115.36
BLE Notify: 249.21#229.50
Device connected
PM2.5: 97.04 | PM10: 146.24
Initial Notify on Connect: 249.21#229.50
PM2.5: 14.42 | PM10: 98.66
PM2.5: 52.31 | PM10: 188.79
PM2.5: 116.91 | PM10: 61.24
PM2.5: 221.30 | PM10: 221.17
PM2.5: 25.02 | PM10: 205.34
PM2.5: 270.50 | PM10: 138.11
PM2.5: 132.59 | PM10: 99.97
BLE Notify: 148.20#148.64
PM2.5: 153.35 | PM10: 51.02
PM2.5: 230.49 | PM10: 8.31
PM2.5: 218.70 | PM10: 138.25
PM2.5: 121.39 | PM10: 294.51
PM2.5: 56.04 | PM10: 226.36
PM2.5: 132.22 | PM10: 68.67
PM2.5: 18.39 | PM10: 21.36
PM2.5: 164.72 | PM10: 242.00
PM2.5: 103.81 | PM10: 272.08
PM2.5: 31.31 | PM10: 289.12
PM2.5: 77.08 | PM10: 34.97
PM2.5: 237.75 | PM10: 157.76
BLE Notify: 128.77#150.37
PM2.5: 82.34 | PM10: 270.94
PM2.5: 69.26 | PM10: 48.29
PM2.5: 297.35 | PM10: 168.38
PM2.5: 151.59 | PM10: 295.01
PM2.5: 22.11 | PM10: 200.33
PM2.5: 28.02 | PM10: 251.69
PM2.5: 228.39 | PM10: 27.55
PM2.5: 188.11 | PM10: 3.34
PM2.5: 8.76 | PM10: 162.15
PM2.5: 227.97 | PM10: 247.30
PM2.5: 31.66 | PM10: 64.71
PM2.5: 231.03 | PM10: 90.70
BLE Notify: 130.55#152.53
PM2.5: 26.44 | PM10: 271.91
PM2.5: 240.69 | PM10: 41.17
PM2.5: 219.33 | PM10: 271.98
PM2.5: 172.12 | PM10: 56.71
PM2.5: 72.71 | PM10: 90.13
PM2.5: 90.19 | PM10: 194.02
PM2.5: 214.41 | PM10: 278.54
PM2.5: 59.52 | PM10: 134.77
PM2.5: 52.67 | PM10: 154.32
PM2.5: 132.84 | PM10: 203.61
PM2.5: 158.84 | PM10: 184.92
PM2.5: 51.17 | PM10: 296.16
BLE Notify: 124.24#181.52
PM2.5: 122.32 | PM10: 16.52
PM2.5: 191.22 | PM10: 299.19
PM2.5: 159.98 | PM10: 117.75
PM2.5: 86.55 | PM10: 161.24
PM2.5: 205.79 | PM10: 46.69
PM2.5: 142.43 | PM10: 274.83
PM2.5: 134.97 | PM10: 181.70
PM2.5: 197.85 | PM10: 146.06
PM2.5: 264.84 | PM10: 233.21
PM2.5: 150.48 | PM10: 233.32
PM2.5: 199.47 | PM10: 129.54
PM2.5: 156.62 | PM10: 86.25
BLE Notify: 167.71#160.53
PM2.5: 252.20 | PM10: 251.79
PM2.5: 131.26 | PM10: 168.45
PM2.5: 190.39 | PM10: 245.83
PM2.5: 211.12 | PM10: 146.95
PM2.5: 12.54 | PM10: 210.96
PM2.5: 278.76 | PM10: 125.41
PM2.5: 191.38 | PM10: 133.00
PM2.5: 224.09 | PM10: 270.60
PM2.5: 238.99 | PM10: 101.90
PM2.5: 245.66 | PM10: 225.38
PM2.5: 189.36 | PM10: 76.90
PM2.5: 134.20 | PM10: 30.92
BLE Notify: 191.66#165.67
PM2.5: 15.77 | PM10: 190.89
PM2.5: 158.06 | PM10: 65.68
PM2.5: 297.98 | PM10: 181.71
PM2.5: 15.98 | PM10: 160.66
PM2.5: 84.55 | PM10: 173.09
PM2.5: 137.17 | PM10: 258.40
PM2.5: 7.85 | PM10: 8.97
PM2.5: 92.41 | PM10: 92.02
PM2.5: 46.70 | PM10: 40.09
PM2.5: 148.82 | PM10: 99.96
PM2.5: 142.92 | PM10: 219.96
PM2.5: 27.10 | PM10: 299.90
BLE Notify: 97.94#149.28
PM2.5: 138.33 | PM10: 114.51
PM2.5: 174.84 | PM10: 236.40
PM2.5: 289.76 | PM10: 289.36
PM2.5: 193.60 | PM10: 29.33
PM2.5: 242.27 | PM10: 231.83
PM2.5: 128.41 | PM10: 28.87
PM2.5: 96.14 | PM10: 173.17
PM2.5: 261.52 | PM10: 9.15
PM2.5: 215.84 | PM10: 94.95
PM2.5: 45.70 | PM10: 77.78
PM2.5: 54.26 | PM10: 280.28
PM2.5: 42.86 | PM10: 9.50
BLE Notify: 156.96#131.26
PM2.5: 170.67 | PM10: 164.35
PM2.5: 109.10 | PM10: 16.15
PM2.5: 115.57 | PM10: 13.66
PM2.5: 138.40 | PM10: 13.66
PM2.5: 59.44 | PM10: 211.09
PM2.5: 298.39 | PM10: 68.29
PM2.5: 30.53 | PM10: 9.63
PM2.5: 119.47 | PM10: 116.12
PM2.5: 64.31 | PM10: 141.71
PM2.5: 257.48 | PM10: 65.91
PM2.5: 230.43 | PM10: 277.79
PM2.5: 255.75 | PM10: 49.36
BLE Notify: 154.13#95.64
PM2.5: 290.38 | PM10: 209.38
PM2.5: 128.13 | PM10: 31.71
PM2.5: 295.35 | PM10: 282.72
PM2.5: 53.35 | PM10: 53.88
PM2.5: 224.67 | PM10: 27.59
PM2.5: 99.18 | PM10: 171.90
PM2.5: 10.28 | PM10: 126.05
PM2.5: 12.48 | PM10: 299.58
PM2.5: 290.30 | PM10: 89.69
PM2.5: 32.98 | PM10: 45.00
PM2.5: 284.03 | PM10: 0.15
PM2.5: 230.82 | PM10: 176.04
BLE Notify: 162.66#126.14
PM2.5: 285.40 | PM10: 40.08
PM2.5: 92.10 | PM10: 265.51
PM2.5: 52.00 | PM10: 29.33
PM2.5: 89.71 | PM10: 194.47
PM2.5: 93.66 | PM10: 82.18
PM2.5: 204.46 | PM10: 125.11
PM2.5: 186.52 | PM10: 132.23
PM2.5: 79.60 | PM10: 296.82
PM2.5: 89.34 | PM10: 48.90
PM2.5: 257.87 | PM10: 63.70
PM2.5: 142.72 | PM10: 152.74
PM2.5: 284.09 | PM10: 22.57
BLE Notify: 154.79#121.14
PM2.5: 163.31 | PM10: 209.78
PM2.5: 165.64 | PM10: 93.09
PM2.5: 231.78 | PM10: 14.00
PM2.5: 8.36 | PM10: 277.60
PM2.5: 210.01 | PM10: 195.90
PM2.5: 156.65 | PM10: 207.90
PM2.5: 266.85 | PM10: 147.82
PM2.5: 89.05 | PM10: 71.43
PM2.5: 250.80 | PM10: 138.65
PM2.5: 62.29 | PM10: 238.02
PM2.5: 88.48 | PM10: 84.83
PM2.5: 291.05 | PM10: 89.28
BLE Notify: 165.36#147.36
PM2.5: 59.01 | PM10: 209.66
PM2.5: 9.80 | PM10: 137.37
PM2.5: 117.84 | PM10: 203.05
PM2.5: 158.89 | PM10: 112.80
PM2.5: 105.62 | PM10: 53.75
PM2.5: 15.93 | PM10: 18.75
PM2.5: 103.80 | PM10: 32.34
PM2.5: 69.14 | PM10: 41.65
PM2.5: 249.84 | PM10: 57.88
PM2.5: 280.05 | PM10: 15.78
PM2.5: 209.95 | PM10: 27.18
PM2.5: 30.09 | PM10: 256.08
BLE Notify: 117.50#97.19
PM2.5: 154.90 | PM10: 108.18
PM2.5: 114.62 | PM10: 142.18
PM2.5: 204.94 | PM10: 258.46
PM2.5: 228.91 | PM10: 73.03
PM2.5: 20.76 | PM10: 173.47
PM2.5: 76.54 | PM10: 112.83
PM2.5: 37.45 | PM10: 41.78
PM2.5: 115.51 | PM10: 30.69
